"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"2023-03-31","129.71","129.45","129.84","127.98","424.61K","0.23%"
"2023-03-30","129.41","128.82","129.65","127.44","342.42K","1.24%"
"2023-03-29","127.82","125.6","127.99","125.42","348.20K","0.79%"
"2023-03-28","126.82","126.17","127.29","123.98","548.72K","0.67%"
"2023-03-27","125.98","123.66","126.65","123.19","344.95K","-0.36%"
"2023-03-24","126.44","125.82","128.09","124.62","418.29K","1.33%"
"2023-03-23","124.78","122.63","126.42","121.68","377.06K","2.25%"
"2023-03-22","122.04","121.76","124.41","121.18","419.48K","0.12%"
"2023-03-21","121.89","124.22","124.77","120.57","557.39K","-3.22%"
"2023-03-20","125.94","126.18","127","123.62","576.88K","0.39%"
"2023-03-17","125.45","121.7","126.14","121.1","1.39M","4.49%"
"2023-03-16","120.06","121.1","121.1","117.54","439.00K","-0.41%"
"2023-03-15","120.56","121.45","122.68","119.16","652.28K","0.57%"
"2023-03-14","119.88","118.69","120.03","117.48","562.89K","1.37%"
"2023-03-13","118.26","117.1","120.04","116.5","779.21K","4.25%"
"2023-03-10","113.44","114.22","116.43","113.3","643.71K","0.47%"
"2023-03-09","112.91","113.17","114.5","112.43","395.04K","0.83%"
"2023-03-08","111.98","113.19","113.96","111.53","419.37K","-0.81%"
"2023-03-07","112.9","116.02","116.74","111.65","558.27K","-3.88%"
"2023-03-06","117.46","119.76","120","116.27","752.23K","-2.5%"
"2023-03-03","120.47","122.15","122.36","120.13","544.80K","-0.19%"
"2023-03-02","120.7","119.4","120.73","119.08","321.08K","-0.08%"
"2023-03-01","120.8","120.46","121.77","119.4","295.48K","1.69%"
"2023-02-28","118.79","118.25","120.46","117.67","476.67K","0.46%"
"2023-02-27","118.25","117.19","118.49","116.93","323.88K","1.47%"
"2023-02-24","116.54","116.1","117.06","115.61","468.99K","-0.87%"
"2023-02-23","117.56","119.3","119.65","117.21","416.62K","-1.52%"
"2023-02-22","119.37","121","121","118.11","441.06K","-1.7%"
"2023-02-21","121.44","121.51","122.79","120.53","357.76K","-0.41%"
"2023-02-17","121.94","121.55","122.76","119.77","343.65K","-0.67%"
"2023-02-16","122.76","122.26","124.18","121.45","546.72K","-0.37%"
"2023-02-15","123.22","122.99","123.95","122.71","389.15K","-2.14%"
"2023-02-14","125.91","123.63","126.3","122.13","462.94K","1.52%"
"2023-02-13","124.03","122.95","124.58","122.02","340.98K","0.21%"
"2023-02-10","123.77","123.2","124.37","122.1","438.63K","0.34%"
"2023-02-09","123.35","126.97","126.97","123.19","309.74K","-2.24%"
"2023-02-08","126.17","126.43","127.55","125.23","377.36K","0.06%"
"2023-02-07","126.1","125.88","127.15","124.3","642.33K","0.53%"
"2023-02-06","125.44","123.42","126","122.72","684.41K","0.76%"
"2023-02-03","124.49","125.32","126.32","122.88","468.53K","-2.67%"
"2023-02-02","127.91","130.76","131.25","126.25","402.35K","-2.04%"
"2023-02-01","130.57","126.5","131.43","126.39","453.24K","2.79%"
"2023-01-31","127.03","126.89","127.65","125.62","1.09M","-0.64%"
"2023-01-30","127.85","127.94","128.84","127.52","349.74K","-0.24%"
"2023-01-27","128.16","129.2","129.23","127.61","238.70K","-1.2%"
"2023-01-26","129.72","131.23","131.6","128.13","391.71K","-1.3%"
"2023-01-25","131.43","127.5","131.89","127.5","459.54K","2.43%"
"2023-01-24","128.31","125.04","128.6","125.04","305.78K","1.56%"
"2023-01-23","126.34","125.21","126.62","124.2","306.47K","0.21%"
"2023-01-20","126.07","123.97","126.28","123.61","263.98K","0.77%"
"2023-01-19","125.11","123.14","125.73","122.43","396.67K","2.06%"
"2023-01-18","122.59","125.26","126.43","122.44","301.23K","-1.03%"
"2023-01-17","123.86","127.92","127.94","123.63","635.47K","-3.72%"
"2023-01-13","128.65","127.04","129.22","127.01","436.90K","1.47%"
"2023-01-12","126.78","126","127.84","124.26","338.14K","1.89%"
"2023-01-11","124.43","124.89","125.12","122.51","399.41K","-0.24%"
"2023-01-10","124.73","122.4","124.77","121.76","397.42K","1.9%"
"2023-01-09","122.41","125.79","125.8","122.21","543.05K","-1.91%"
"2023-01-06","124.79","123.02","126.48","122.3","623.90K","3.53%"
"2023-01-05","120.53","117.42","120.62","116.76","358.21K","1.1%"
"2023-01-04","119.22","118.77","120.97","118.77","681.98K","2.05%"
"2023-01-03","116.83","114.29","116.98","114.29","583.89K","3.65%"
"2022-12-30","112.72","112.65","112.95","111.5","302.86K","0.42%"
"2022-12-29","112.25","112.87","113.41","111.98","368.37K","0.67%"
"2022-12-28","111.5","113.53","114.06","111.21","321.83K","-2.54%"
"2022-12-27","114.41","113.34","115.89","113","339.94K","1.39%"
"2022-12-23","112.84","112.49","113.7","110.91","340.56K","0.94%"
"2022-12-22","111.79","111.15","111.85","109.73","443.70K","-0.17%"
"2022-12-21","111.98","111.09","112.7","110.66","470.90K","1.44%"
"2022-12-20","110.39","109","111.76","108.65","529.14K","3.62%"
"2022-12-19","106.53","107.93","108.28","105.78","422.60K","-0.81%"
"2022-12-16","107.39","106.44","108.28","106.35","1.81M","0.42%"
"2022-12-15","106.94","108.84","109.73","106.58","526.86K","-4.14%"
"2022-12-14","111.56","112.27","113.15","110.32","548.31K","-0.78%"
"2022-12-13","112.44","112.78","113.73","110.68","520.64K","3.17%"
"2022-12-12","108.99","109.18","109.63","106.75","561.05K","-1.41%"
"2022-12-09","110.55","112.8","113.63","110.4","328.69K","-1.29%"
"2022-12-08","111.99","112.53","113.13","111.35","311.41K","0.35%"
"2022-12-07","111.6","112.05","113.13","110.66","341.72K","0.84%"
"2022-12-06","110.67","111.86","112.49","110.23","388.39K","0.18%"
"2022-12-05","110.47","112.64","112.64","110.04","356.34K","-2.85%"
"2022-12-02","113.71","112.07","114.63","111.81","381.54K","-0.25%"
"2022-12-01","114","114.61","116.04","112.54","603.92K","1.49%"
"2022-11-30","112.33","109.9","112.74","108.44","660.31K","3.31%"
"2022-11-29","108.73","106.67","109.04","106.5","933.29K","3.35%"
"2022-11-28","105.21","108.01","108.34","105.08","275.97K","-3.05%"
"2022-11-25","108.52","109.34","109.7","107.92","136.07K","-1.44%"
"2022-11-23","110.1","108.96","110.71","107.66","284.09K","0.57%"
"2022-11-22","109.48","105.91","110.12","105.84","408.14K","4.28%"
"2022-11-21","104.99","104.34","105.11","103.63","217.14K","0.57%"
"2022-11-18","104.4","101.64","104.47","101.64","221.39K","1.41%"
"2022-11-17","102.95","103.29","104.16","101.93","279.03K","-2.61%"
"2022-11-16","105.71","105.65","106.73","104.93","276.65K","0.06%"
"2022-11-15","105.65","107.56","107.99","104.61","347.83K","-0.78%"
"2022-11-14","106.48","104.76","106.8","103.02","377.04K","1.31%"
"2022-11-11","105.1","105.53","106.33","103.07","317.92K","0.07%"
"2022-11-10","105.03","104.59","106.64","104.4","535.16K","4.33%"
